date,symbol,open,high,low,close,volume,adjclose,weekday
2022-06-17,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,4
2022-06-20,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,0
2022-06-21,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,1
2022-06-22,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,2
2022-06-23,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,3
2022-06-24,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,4
2022-06-27,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,0
2022-06-28,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,1
2022-06-29,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,2
2022-06-30,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,3
2022-07-01,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,4
2022-07-04,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,0
2022-07-05,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,1
2022-07-06,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,2
2022-07-07,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,3
2022-07-08,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,4
2022-07-11,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,0
2022-07-12,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,1
2022-07-13,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,2
2022-07-14,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,3
2022-07-15,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,4
2022-07-18,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,0
2022-07-19,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,1
2022-07-20,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,2
2022-07-21,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,3
2022-07-22,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,4
2022-07-25,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,0
2022-07-26,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,1
2022-07-27,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,2
2022-07-28,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,3
2022-07-29,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,4
2022-08-01,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,0
2022-08-02,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,1
2022-08-03,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,2
2022-08-04,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,3
2022-08-05,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,4
2022-08-08,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,0
2022-08-09,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,1
2022-08-10,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,2
2022-08-11,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,3
2022-08-12,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,4
2022-08-15,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,0
2022-08-16,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,1
2022-08-17,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,2
2022-08-18,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,3
2022-08-19,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,4
2022-08-22,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,0
2022-08-23,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,1
2022-08-24,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,2
2022-08-25,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,3
2022-08-26,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,4
2022-08-29,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,0
2022-08-30,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,1
2022-08-31,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,2
2022-09-01,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,3
2022-09-02,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,4
2022-09-05,FRIO3.SA,41.5,41.5,41.5,41.5,0.0,41.5,0
2022-09-06,FRIO3.SA,41.4900016784668,41.4900016784668,41.4900016784668,41.4900016784668,100.0,41.4900016784668,1
2022-09-08,FRIO3.SA,34.060001373291016,34.060001373291016,34.060001373291016,34.060001373291016,100.0,34.060001373291016,3
2022-09-09,FRIO3.SA,34.060001373291016,34.060001373291016,34.060001373291016,34.060001373291016,0.0,34.060001373291016,4
2022-09-12,FRIO3.SA,34.060001373291016,34.060001373291016,34.060001373291016,34.060001373291016,0.0,34.060001373291016,0
2022-09-13,FRIO3.SA,37.900001525878906,37.900001525878906,37.900001525878906,37.900001525878906,100.0,37.900001525878906,1
2022-09-14,FRIO3.SA,37.900001525878906,37.900001525878906,37.900001525878906,37.900001525878906,0.0,37.900001525878906,2
2022-09-15,FRIO3.SA,37.900001525878906,37.900001525878906,37.900001525878906,37.900001525878906,0.0,37.900001525878906,3
2022-09-16,FRIO3.SA,37.900001525878906,37.900001525878906,37.900001525878906,37.900001525878906,0.0,37.900001525878906,4
2022-09-19,FRIO3.SA,37.900001525878906,37.900001525878906,37.900001525878906,37.900001525878906,0.0,37.900001525878906,0
2022-09-20,FRIO3.SA,37.900001525878906,37.900001525878906,37.900001525878906,37.900001525878906,0.0,37.900001525878906,1
2022-09-21,FRIO3.SA,37.900001525878906,37.900001525878906,37.900001525878906,37.900001525878906,0.0,37.900001525878906,2
2022-09-22,FRIO3.SA,37.900001525878906,37.900001525878906,37.900001525878906,37.900001525878906,0.0,37.900001525878906,3
2022-09-23,FRIO3.SA,37.900001525878906,37.900001525878906,37.900001525878906,37.900001525878906,0.0,37.900001525878906,4
2022-09-26,FRIO3.SA,37.88999938964844,37.88999938964844,37.849998474121094,37.849998474121094,400.0,37.849998474121094,0
2022-09-27,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,1
2022-09-28,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,2
2022-09-29,FRIO3.SA,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0.0,37.849998474121094,3
