date,symbol,open,high,low,close,volume,adjclose,splits
2022-06-17,NEXP3.SA,25.5,26.5,25.0,26.0,6958,26.0,0.0
2022-06-20,NEXP3.SA,26.0,28.0,26.0,27.5,7654,27.5,0.0
2022-06-21,NEXP3.SA,27.5,28.0,26.5,28.0,4206,28.0,0.0
2022-06-22,NEXP3.SA,28.5,29.0,27.0,29.0,5008,29.0,0.0
2022-06-23,NEXP3.SA,28.5,30.5,28.5,30.0,9008,30.0,0.0
2022-06-24,NEXP3.SA,30.5,31.0,28.0,31.0,8894,31.0,0.0
2022-06-27,NEXP3.SA,30.5,31.0,29.0,31.0,6244,31.0,0.0
2022-06-28,NEXP3.SA,30.5,30.5,28.5,29.5,6920,29.5,0.0
2022-06-29,NEXP3.SA,29.5,29.5,27.0,28.0,9728,28.0,0.0
2022-06-30,NEXP3.SA,27.5,27.5,26.5,27.5,6890,27.5,0.0
2022-07-01,NEXP3.SA,27.0,27.5,26.0,26.5,5608,26.5,0.0
2022-07-04,NEXP3.SA,26.5,27.5,26.0,26.0,2500,26.0,0.0
2022-07-05,NEXP3.SA,26.5,26.5,25.0,26.5,6862,26.5,0.0
2022-07-06,NEXP3.SA,26.5,28.0,26.5,27.0,5122,27.0,0.0
2022-07-07,NEXP3.SA,27.0,28.5,27.0,27.5,7594,27.5,0.0
2022-07-08,NEXP3.SA,27.0,28.5,27.0,27.5,3224,27.5,0.0
2022-07-11,NEXP3.SA,28.0,28.0,26.5,26.5,2364,26.5,0.0
2022-07-12,NEXP3.SA,27.0,27.0,26.0,26.5,4686,26.5,0.0
2022-07-13,NEXP3.SA,26.5,27.0,26.0,26.0,2218,26.0,0.0
2022-07-14,NEXP3.SA,26.5,26.5,25.5,25.5,3618,25.5,0.0
2022-07-15,NEXP3.SA,26.0,26.0,25.0,25.0,3964,25.0,0.0
2022-07-18,NEXP3.SA,26.0,26.0,24.5,24.5,2904,24.5,0.0
2022-07-19,NEXP3.SA,25.0,25.5,24.0,24.5,2192,24.5,0.0
2022-07-20,NEXP3.SA,25.0,25.5,24.5,24.5,5340,24.5,0.0
2022-07-21,NEXP3.SA,25.0,29.5,24.5,27.0,20168,27.0,0.0
2022-07-22,NEXP3.SA,27.5,28.5,25.5,26.0,13404,26.0,0.0
2022-07-25,NEXP3.SA,26.0,26.5,25.5,25.5,3810,25.5,0.0
2022-07-26,NEXP3.SA,25.5,26.0,24.5,25.5,4920,25.5,0.0
2022-07-27,NEXP3.SA,25.5,25.5,24.5,25.0,5692,25.0,0.0
2022-07-28,NEXP3.SA,25.0,25.5,25.0,25.0,2308,25.0,0.0
2022-07-29,NEXP3.SA,25.0,25.5,24.5,24.5,2752,24.5,0.0
2022-08-01,NEXP3.SA,24.5,25.5,24.5,25.0,4902,25.0,0.0
2022-08-02,NEXP3.SA,24.5,25.5,24.5,25.0,2824,25.0,0.0
2022-08-03,NEXP3.SA,25.5,27.5,25.0,26.0,9716,26.0,0.0
2022-08-04,NEXP3.SA,26.5,28.5,26.5,27.0,15690,27.0,0.0
2022-08-05,NEXP3.SA,27.0,28.0,26.5,26.5,11400,26.5,0.0
2022-08-08,NEXP3.SA,27.0,29.5,27.0,27.0,15056,27.0,0.0
2022-08-09,NEXP3.SA,27.5,28.5,26.5,27.0,5508,27.0,0.0
2022-08-10,NEXP3.SA,27.0,28.5,27.0,28.0,6218,28.0,0.0
2022-08-11,NEXP3.SA,28.0,32.0,28.0,30.0,26186,30.0,0.0
2022-08-12,NEXP3.SA,29.5,29.5,27.5,28.0,9530,28.0,0.0
2022-08-15,NEXP3.SA,28.5,29.0,27.5,28.5,4096,28.5,0.0
2022-08-16,NEXP3.SA,29.0,29.0,27.5,28.5,4542,28.5,0.0
2022-08-17,NEXP3.SA,28.5,29.0,28.0,28.0,1840,28.0,0.0
2022-08-18,NEXP3.SA,28.5,29.0,27.0,28.0,6454,28.0,0.0
2022-08-19,NEXP3.SA,27.5,28.0,26.5,27.5,5126,27.5,0.0
2022-08-22,NEXP3.SA,28.0,28.0,26.5,27.0,2484,27.0,0.0
2022-08-23,NEXP3.SA,27.0,28.0,27.0,27.5,2536,27.5,0.0
2022-08-24,NEXP3.SA,27.5,28.0,27.0,27.5,2996,27.5,0.0
2022-08-25,NEXP3.SA,27.5,28.0,26.5,27.0,5434,27.0,0.0
2022-08-26,NEXP3.SA,27.5,27.5,26.5,27.0,3626,27.0,0.0
2022-08-29,NEXP3.SA,27.0,27.0,26.5,26.5,1624,26.5,0.0
2022-08-30,NEXP3.SA,26.5,27.0,26.0,26.0,2748,26.0,0.0
2022-08-31,NEXP3.SA,26.0,26.5,25.0,25.5,6494,25.5,0.0
2022-09-01,NEXP3.SA,26.0,26.0,25.0,26.0,3082,26.0,0.0
2022-09-02,NEXP3.SA,26.0,26.0,25.5,26.0,1220,26.0,0.0
2022-09-05,NEXP3.SA,26.0,26.0,25.5,25.5,1424,25.5,0.0
2022-09-06,NEXP3.SA,26.0,26.0,25.0,26.0,1380,26.0,0.0
2022-09-08,NEXP3.SA,26.0,26.0,25.0,25.5,2002,25.5,0.0
2022-09-09,NEXP3.SA,25.5,26.5,25.5,25.5,1876,25.5,0.0
2022-09-12,NEXP3.SA,26.0,26.5,25.0,25.5,4742,25.5,0.0
2022-09-13,NEXP3.SA,25.5,26.0,25.0,25.5,2590,25.5,0.0
2022-09-14,NEXP3.SA,26.0,26.0,25.5,26.0,2756,26.0,0.0
2022-09-15,NEXP3.SA,25.5,26.0,25.5,26.0,2014,26.0,0.0
2022-09-16,NEXP3.SA,26.0,26.5,25.0,25.5,3998,25.5,0.0
2022-09-19,NEXP3.SA,25.5,25.5,24.5,25.0,4262,25.0,0.0
2022-09-20,NEXP3.SA,25.0,25.5,24.5,24.5,2750,24.5,0.0
2022-09-21,NEXP3.SA,25.0,25.0,24.0,24.0,3556,24.0,0.0
2022-09-22,NEXP3.SA,24.5,25.0,24.0,24.5,3034,24.5,0.0
2022-09-23,NEXP3.SA,24.0,24.5,24.0,24.5,2040,24.5,0.0
2022-09-26,NEXP3.SA,24.0,24.5,23.5,24.0,1222,24.0,0.0
2022-09-27,NEXP3.SA,24.0,24.5,22.0,22.5,5504,22.5,0.0
2022-09-28,NEXP3.SA,23.0,23.5,22.0,22.5,2170,22.5,0.0
2022-09-29,NEXP3.SA,23.0,23.0,21.0,22.0,3538,22.0,0.0
2022-09-30,NEXP3.SA,22.0,23.0,21.5,22.5,3324,22.5,0.0
2022-10-03,NEXP3.SA,22.5,23.5,22.5,22.5,2786,22.5,0.0
2022-10-04,NEXP3.SA,23.0,24.0,22.5,23.0,3676,23.0,0.0
2022-10-05,NEXP3.SA,23.0,23.0,22.5,23.0,2700,23.0,0.0
2022-10-06,NEXP3.SA,23.0,23.5,23.0,23.5,2266,23.5,0.0
