date,symbol,open,high,low,close,volume,adjclose,dividends,weekday
2022-06-17,PATI4.SA,54.0,54.0,54.0,54.0,0,51.35327911376953,0.0,4
2022-06-20,PATI4.SA,54.0,54.0,54.0,54.0,0,51.35327911376953,0.0,0
2022-06-21,PATI4.SA,54.0,54.0,54.0,54.0,0,51.35327911376953,0.0,1
2022-06-22,PATI4.SA,54.0,54.0,54.0,54.0,0,51.35327911376953,0.0,2
2022-06-23,PATI4.SA,54.0,54.0,54.0,54.0,0,51.35327911376953,0.0,3
2022-06-24,PATI4.SA,54.0,54.0,54.0,54.0,0,51.35327911376953,0.0,4
2022-06-27,PATI4.SA,54.0,54.0,54.0,54.0,0,51.35327911376953,0.0,0
2022-06-28,PATI4.SA,54.0,54.0,54.0,54.0,0,51.35327911376953,0.0,1
2022-06-29,PATI4.SA,54.0,54.0,54.0,54.0,0,51.35327911376953,0.0,2
2022-06-30,PATI4.SA,54.0,54.0,54.0,54.0,0,51.35327911376953,0.0,3
2022-07-01,PATI4.SA,54.0,54.0,54.0,54.0,0,51.35327911376953,0.0,4
2022-07-04,PATI4.SA,54.0,54.0,54.0,54.0,0,51.35327911376953,0.0,0
2022-07-05,PATI4.SA,54.0,54.0,54.0,54.0,0,51.35327911376953,0.0,1
2022-07-06,PATI4.SA,54.0,54.0,54.0,54.0,0,51.35327911376953,0.0,2
2022-07-07,PATI4.SA,54.0,54.0,54.0,54.0,0,51.35327911376953,0.0,3
2022-07-08,PATI4.SA,54.0,54.0,54.0,54.0,0,51.35327911376953,0.0,4
2022-07-11,PATI4.SA,54.0,54.0,54.0,54.0,0,51.35327911376953,0.0,0
2022-07-12,PATI4.SA,54.0,54.0,54.0,54.0,0,51.35327911376953,0.0,1
2022-07-13,PATI4.SA,54.0,54.0,54.0,54.0,0,51.35327911376953,0.0,2
2022-07-14,PATI4.SA,54.0,54.0,54.0,54.0,0,51.35327911376953,0.0,3
2022-07-15,PATI4.SA,54.0,54.0,54.0,54.0,200,51.35327911376953,0.0,4
2022-07-18,PATI4.SA,53.97999954223633,53.97999954223633,53.97999954223633,53.97999954223633,100,51.334259033203125,0.0,0
2022-07-19,PATI4.SA,53.97999954223633,53.97999954223633,53.97999954223633,53.97999954223633,0,51.334259033203125,0.0,1
2022-07-20,PATI4.SA,53.97999954223633,53.97999954223633,53.97999954223633,53.97999954223633,0,51.334259033203125,0.0,2
2022-07-21,PATI4.SA,53.97999954223633,53.97999954223633,53.97999954223633,53.97999954223633,0,51.334259033203125,0.0,3
2022-07-22,PATI4.SA,53.97999954223633,53.97999954223633,53.97999954223633,53.97999954223633,0,51.334259033203125,0.0,4
2022-07-25,PATI4.SA,53.97999954223633,53.97999954223633,53.97999954223633,53.97999954223633,0,51.334259033203125,0.0,0
2022-07-26,PATI4.SA,52.29999923706055,52.29999923706055,52.29999923706055,52.29999923706055,200,49.73659896850586,0.0,1
2022-07-27,PATI4.SA,52.29999923706055,52.29999923706055,52.29999923706055,52.29999923706055,0,49.73659896850586,0.0,2
2022-07-28,PATI4.SA,52.29999923706055,52.29999923706055,52.29999923706055,52.29999923706055,0,49.73659896850586,0.0,3
2022-07-29,PATI4.SA,52.29999923706055,52.29999923706055,52.29999923706055,52.29999923706055,0,49.73659896850586,0.0,4
2022-08-01,PATI4.SA,52.0099983215332,52.0099983215332,52.0099983215332,52.0099983215332,100,49.460811614990234,0.0,0
2022-08-02,PATI4.SA,52.0099983215332,52.0099983215332,52.0099983215332,52.0099983215332,0,49.460811614990234,0.0,1
2022-08-03,PATI4.SA,53.0,53.0,53.0,53.0,400,50.40229034423828,0.0,2
2022-08-04,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,3
2022-08-05,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,4
2022-08-08,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,0
2022-08-09,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,1
2022-08-10,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,2
2022-08-11,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,3
2022-08-12,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,4
2022-08-15,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,0
2022-08-16,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,1
2022-08-17,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,2
2022-08-18,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,3
2022-08-19,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,4
2022-08-22,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,0
2022-08-23,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,1
2022-08-24,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,2
2022-08-25,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,3
2022-08-26,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,4
2022-08-29,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,0
2022-08-30,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,1
2022-08-31,PATI4.SA,53.0,53.0,53.0,53.0,0,50.40229034423828,0.0,2
