,symbol,date,open,high,low,close,volume,adjclose,dividends,weekday,splits
0,PETR4.SA,2022-06-20,26.020000457763672,28.25,25.90999984741211,27.6200008392334,92581800,16.43754768371582,0.0,0,0
1,PETR4.SA,2022-06-21,27.799999237060547,28.15999984741211,26.690000534057617,27.06999969482422,85179500,16.1102237701416,0.0,1,0
2,PETR4.SA,2022-06-22,26.579999923706055,27.549999237060547,26.389999389648438,26.989999771118164,57874700,16.06261444091797,0.0,2,0
3,PETR4.SA,2022-06-23,26.979999542236328,27.3799991607666,26.1200008392334,26.489999771118164,69262300,15.765047073364258,0.0,3,0
4,PETR4.SA,2022-06-24,26.760000228881836,27.09000015258789,26.18000030517578,26.290000915527344,53413400,15.646021842956543,0.0,4,0
5,PETR4.SA,2022-06-27,26.81999969482422,28.06999969482422,26.65999984741211,27.979999542236328,90417700,16.651796340942383,0.0,0,0
6,PETR4.SA,2022-06-28,28.579999923706055,28.829999923706055,28.020000457763672,28.329999923706055,51388000,16.860092163085938,0.0,1,0
7,PETR4.SA,2022-06-29,28.479999542236328,28.81999969482422,27.84000015258789,28.079999923706055,52048800,16.711307525634766,0.0,2,0
8,PETR4.SA,2022-06-30,27.649999618530273,28.059999465942383,27.399999618530273,27.93000030517578,49910100,16.622037887573242,0.0,3,0
9,PETR4.SA,2022-07-01,28.079999923706055,28.850000381469727,27.520000457763672,28.530000686645508,64948200,16.97911834716797,0.0,4,0
10,PETR4.SA,2022-07-04,28.540000915527344,29.280000686645508,28.540000915527344,29.139999389648438,37324200,17.342147827148438,0.0,0,0
11,PETR4.SA,2022-07-05,28.899999618530273,28.950000762939453,27.549999237060547,28.030000686645508,78428500,16.68155288696289,0.0,1,0
12,PETR4.SA,2022-07-06,28.15999984741211,28.479999542236328,26.90999984741211,27.670000076293945,57617200,16.467304229736328,0.0,2,0
13,PETR4.SA,2022-07-07,28.0,28.920000076293945,28.0,28.479999542236328,52147300,16.949359893798828,0.0,3,0
14,PETR4.SA,2022-07-08,28.530000686645508,28.969999313354492,28.3700008392334,28.799999237060547,43097800,17.139802932739258,0.0,4,0
15,PETR4.SA,2022-07-11,28.31999969482422,28.790000915527344,28.25,28.65999984741211,39577600,17.05648422241211,0.0,0,0
16,PETR4.SA,2022-07-12,28.299999237060547,28.43000030517578,27.969999313354492,28.229999542236328,46462000,16.80057716369629,0.0,1,0
17,PETR4.SA,2022-07-13,28.1299991607666,28.479999542236328,27.979999542236328,28.25,35497200,16.812480926513672,0.0,2,0
18,PETR4.SA,2022-07-14,28.0,28.0,27.239999771118164,27.489999771118164,47151000,16.360179901123047,0.0,3,0
19,PETR4.SA,2022-07-15,27.700000762939453,28.049999237060547,27.489999771118164,27.959999084472656,38610800,16.639892578125,0.0,4,0
20,PETR4.SA,2022-07-18,28.389999389648438,28.690000534057617,28.299999237060547,28.600000381469727,46782300,17.020776748657227,0.0,0,0
21,PETR4.SA,2022-07-19,28.549999237060547,29.239999771118164,28.399999618530273,29.18000030517578,48562300,17.365955352783203,0.0,1,0
22,PETR4.SA,2022-07-20,29.06999969482422,29.219999313354492,28.829999923706055,29.170000076293945,43520800,17.360000610351562,0.0,2,0
23,PETR4.SA,2022-07-21,28.979999542236328,29.1299991607666,28.200000762939453,29.020000457763672,58843200,17.270732879638672,0.0,3,0
24,PETR4.SA,2022-07-22,29.040000915527344,29.469999313354492,28.850000381469727,29.329999923706055,55676200,17.455223083496094,0.0,4,0
25,PETR4.SA,2022-07-25,29.610000610351562,30.75,29.610000610351562,30.700000762939453,79106600,18.270553588867188,0.0,0,0
26,PETR4.SA,2022-07-26,31.200000762939453,31.6200008392334,30.59000015258789,31.010000228881836,78360100,18.455047607421875,0.0,1,0
27,PETR4.SA,2022-07-27,31.299999237060547,31.469999313354492,30.6200008392334,31.350000381469727,56097200,18.657390594482422,0.0,2,0
28,PETR4.SA,2022-07-28,31.59000015258789,32.630001068115234,31.43000030517578,32.290000915527344,114996500,19.216814041137695,0.0,3,0
29,PETR4.SA,2022-07-29,33.599998474121094,34.65999984741211,32.83000183105469,34.150001525878906,181480600,20.323760986328125,0.0,4,0
30,PETR4.SA,2022-08-01,34.0,34.150001525878906,33.220001220703125,33.68000030517578,81365100,20.044048309326172,0.0,0,0
31,PETR4.SA,2022-08-02,33.77000045776367,34.5,33.47999954223633,33.83000183105469,69147100,20.133319854736328,0.0,1,0
32,PETR4.SA,2022-08-03,34.0099983215332,34.15999984741211,33.560001373291016,33.849998474121094,65544500,20.145219802856445,0.0,2,0
33,PETR4.SA,2022-08-04,34.08000183105469,34.400001525878906,33.58000183105469,34.209999084472656,54387500,20.359466552734375,0.0,3,0
34,PETR4.SA,2022-08-05,34.150001525878906,35.060001373291016,34.119998931884766,34.869998931884766,77882600,20.752254486083984,0.0,4,0
35,PETR4.SA,2022-08-08,35.13999938964844,36.77000045776367,35.130001068115234,36.630001068115234,109484600,21.799686431884766,0.0,0,0
36,PETR4.SA,2022-08-09,37.0099983215332,37.459999084472656,36.849998474121094,37.22999954223633,79051200,22.15676498413086,0.0,1,0
37,PETR4.SA,2022-08-10,37.650001525878906,37.650001525878906,36.61000061035156,37.11000061035156,78369600,22.085351943969727,0.0,2,0
38,PETR4.SA,2022-08-11,37.45000076293945,37.86000061035156,36.25,36.25,128896500,21.57353973388672,0.0,3,0
39,PETR4.SA,2022-08-12,29.100000381469727,31.829999923706055,29.079999923706055,31.709999084472656,171288300,23.175582885742188,6.732003,4,0
40,PETR4.SA,2022-08-15,30.8799991607666,32.22999954223633,30.549999237060547,31.719999313354492,96759000,23.182893753051758,0.0,0,0
41,PETR4.SA,2022-08-16,31.719999313354492,32.06999969482422,31.5,32.0099983215332,64218800,23.39484214782715,0.0,1,0
42,PETR4.SA,2022-08-17,31.649999618530273,32.81999969482422,31.600000381469727,32.7599983215332,72924700,23.942989349365234,0.0,2,0
43,PETR4.SA,2022-08-18,33.099998474121094,33.65999984741211,32.869998931884766,33.41999816894531,84552500,24.425355911254883,0.0,3,0
44,PETR4.SA,2022-08-19,32.91999816894531,33.150001525878906,31.329999923706055,31.729999542236328,125178200,23.190202713012695,0.0,4,0
45,PETR4.SA,2022-08-22,31.739999771118164,32.58000183105469,30.479999542236328,32.40999984741211,92400300,23.68718719482422,0.0,0,0
46,PETR4.SA,2022-08-23,32.630001068115234,33.5,32.619998931884766,33.439998626708984,73215800,24.439973831176758,0.0,1,0
47,PETR4.SA,2022-08-24,33.540000915527344,34.119998931884766,33.25,33.63999938964844,61067900,24.58614730834961,0.0,2,0
